Entidad	ID Activo	Proyecto	Categoría	Dpto	U operativa	Moneda	F.Transacción	Año	Per inic	Per fin	Importe
NMP01	000000062657	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	13558.38
NMP01	000000062658	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	17763.81
NMP01	000000062676	CORP	EDIFC	17000	ADMON	MXN	01/03/2018	2024	1	12	118411.25
NMP01	000000063115	CORP	EDIFC	16202	ADMON	MXN	01/02/2022	2024	1	12	10232.28
NMP01	000000063647	SUCS_NB	EDIFC	_	13030	MXN	01/05/2011	2024	1	12	51746.85
NMP01	000000064269	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	3468.14
NMP01	000000064270	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	8970.55
NMP01	000000064271	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	3526.92
NMP01	000000064272	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	1890.08
NMP01	000000064273	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	13744.19
NMP01	000000064274	SUCS_NB	EDIFC	_	13022	MXN	01/07/2011	2024	1	12	200778.83
NMP01	000000065641	SUCS_NB	EDIFC	_	13022	MXN	01/07/2011	2024	1	12	1387.22
NMP01	000000065642	SUCS_NB	EDIFC	_	13020	MXN	01/07/2011	2024	1	12	1380.28
NMP01	000000065721	SUCS_NB	EDIFC	_	13000	MXN	01/07/2011	2024	1	12	7408.13
NMP01	000000065722	SUCS_NB	EDIFC	_	13005	MXN	01/07/2011	2024	1	12	39.61
NMP01	000000065723	SUCS_NB	EDIFC	_	13023	MXN	01/07/2011	2024	1	12	5494.84
NMP01	000000065724	SUCS_NB	EDIFC	_	13028	MXN	01/07/2011	2024	1	12	34432.66
NMP01	000000065725	SUCS_NB	EDIFC	_	13029	MXN	01/07/2011	2024	1	12	13734.04
NMP01	000000065726	SUCS_NB	EDIFC	_	13032	MXN	01/07/2011	2024	1	12	947.61
NMP01	000000065727	SUCS_NB	EDIFC	_	31001	MXN	01/02/2022	2024	1	12	2633.14
NMP01	000000065728	SUCS_NB	EDIFC	_	13060	MXN	01/07/2011	2024	1	12	946.3
NMP01	000000065729	SUCS_NB	EDIFC	_	13000	MXN	01/07/2011	2024	1	12	5668.58
NMP01	000000065730	SUCS_NB	EDIFC	_	13000	MXN	01/07/2011	2024	1	12	832.31
NMP01	000000065756	SUCS_NB	PREOP	_	13035	MXN	01/10/2011	2024	1	12	1863.2
NMP01	000000065758	SUCS_NB	EDIFC	_	13000	MXN	01/07/2011	2024	1	12	3783.57
NMP01	000000065759	SUCS_NB	EDIFC	_	13029	MXN	01/07/2011	2024	1	12	46053.4
NMP01	000000067155	SUCS_NB	EDIFC	_	13020	MXN	01/10/2011	2024	1	12	40630.23
NMP01	000000067156	SUCS_NB	EDIFC	_	13020	MXN	01/10/2011	2024	1	12	2177.85
NMP01	000000067157	SUCS_NB	EDIFC	_	13022	MXN	01/10/2011	2024	1	12	24639.56
NMP01	000000067158	SUCS_NB	EDIFC	_	13022	MXN	01/10/2011	2024	1	12	9444.63
NMP01	000000067161	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	13773.19
NMP01	000000067163	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	8420.99
NMP01	000000067222	CORP	EDIFC	25701	ADMON	MXN	01/03/2023	2024	1	12	45824.5
NMP01	000000067225	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	17087.54
NMP01	000000067226	SUCS_NB	EDIFC	_	13007	MXN	01/10/2011	2024	1	12	125006.51
NMP01	000000068525	SUCS_NB	EDIFC	_	13022	MXN	01/10/2011	2024	1	12	11368.36
NMP01	000000068702	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	15105.75
NMP01	000000068705	SUCS_NB	EDIFC	_	13000	MXN	01/09/2016	2024	1	12	26832.59
NMP01	000000068839	SUCS_NB	EDIFC	_	13015	MXN	01/11/2011	2024	1	12	2101.78
NMP01	000000070092	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	30112.41
NMP01	000000070148	CORP	EDIFC	25106	ADMON	MXN	01/02/2022	2024	1	12	14099.65
